TransactionID,Amount,TransactionType,Location,MerchantCategory,PaymentMethod,TransactionHour,IsFraud
TXN10001,1714.96,POS,Mumbai,Food,UPI,10,0
TXN10002,2978.54,ATM,Varanasi,Entertainment,Credit Card,21,0
TXN10003,4375.67,Online,Delhi,Electronics,Debit Card,7,0
TXN10004,3006.44,Online,Varanasi,Fuel,Debit Card,12,0
TXN10005,1928.2,POS,Lucknow,Fuel,UPI,17,0
TXN10006,378.64,POS,Jaipur,Grocery,Debit Card,20,0
TXN10007,2451.11,POS,Pune,Entertainment,Credit Card,19,0
TXN10008,8576.84,Online,Lucknow,Clothing,Debit Card,18,0
TXN10009,1651.12,Online,Hyderabad,Grocery,Net Banking,21,0
TXN10010,11305.6,Online,Hyderabad,Grocery,Credit Card,1,1
TXN10011,1131.46,POS,Mumbai,Healthcare,UPI,23,0
TXN10012,1858.12,ATM,Lucknow,Grocery,Debit Card,11,0
TXN10013,4557.72,Online,Mumbai,Clothing,Debit Card,19,0
TXN10014,683.18,POS,Jaipur,Healthcare,Debit Card,10,0
TXN10015,2102.23,POS,Hyderabad,Fuel,Debit Card,13,0
TXN10016,3568.21,POS,Delhi,Clothing,UPI,20,0
TXN10017,1420.35,POS,Hyderabad,Travel,Credit Card,13,0
TXN10018,812.14,Online,Bengaluru,Fuel,Credit Card,21,0
TXN10019,3883.58,POS,Kolkata,Fuel,UPI,15,0
TXN10020,679.66,POS,Pune,Entertainment,Debit Card,10,0
TXN10021,5695.19,Online,Lucknow,Travel,Debit Card,14,0
TXN10022,1402.27,POS,Mumbai,Entertainment,UPI,7,0
TXN10023,980.69,POS,Kolkata,Travel,Credit Card,14,0
TXN10024,855.19,POS,Kolkata,Grocery,UPI,19,0
TXN10025,2240.75,POS,Varanasi,Food,Debit Card,6,0
TXN10026,2683.02,Online,Chennai,Clothing,Credit Card,10,0
TXN10027,1249.61,POS,Varanasi,Travel,Debit Card,13,0
TXN10028,4388.45,Online,Varanasi,Fuel,UPI,19,0
TXN10029,2945.42,Online,Pune,Fuel,Credit Card,19,0
TXN10030,2410.89,POS,Bengaluru,Food,Debit Card,21,0
TXN10031,1855.15,Online,Hyderabad,Travel,UPI,8,0
TXN10032,1172.47,POS,Varanasi,Fuel,Credit Card,8,0
TXN10033,2065.12,POS,Jaipur,Entertainment,UPI,17,0
TXN10034,5692.03,ATM,Hyderabad,Travel,Debit Card,9,0
TXN10035,7125.69,ATM,Bengaluru,Food,Debit Card,13,0
TXN10036,9949.55,Online,Mumbai,Travel,Debit Card,15,1
TXN10037,3848.78,POS,Chennai,Grocery,Debit Card,10,0
TXN10038,1115.46,POS,Hyderabad,Grocery,UPI,18,0
TXN10039,5705.22,Online,Lucknow,Healthcare,UPI,20,0
TXN10040,553.05,POS,Pune,Grocery,UPI,0,0
TXN10041,877.05,POS,Kolkata,Electronics,UPI,11,0
TXN10042,5183.65,Online,Mumbai,Healthcare,Debit Card,18,1
TXN10043,3090.84,POS,Bengaluru,Travel,Net Banking,10,0
TXN10044,2559.8,ATM,Varanasi,Electronics,Net Banking,15,0
TXN10045,157.51,POS,Jaipur,Clothing,Credit Card,19,0
TXN10046,6682.11,Online,Jaipur,Food,Debit Card,11,0
TXN10047,1391.31,POS,Chennai,Clothing,UPI,19,0
TXN10048,724.59,Online,Bengaluru,Electronics,Debit Card,20,0
TXN10049,623.75,Online,Mumbai,Fuel,UPI,23,0
TXN10050,1271.87,POS,Lucknow,Grocery,Debit Card,13,0
TXN10051,6322.8,ATM,Kolkata,Entertainment,Credit Card,14,0
TXN10052,11245.5,Online,Varanasi,Travel,Credit Card,19,0
TXN10053,3892.37,ATM,Pune,Healthcare,Debit Card,20,0
TXN10054,9827.81,ATM,Delhi,Fuel,Credit Card,14,0
TXN10055,3549.11,Online,Delhi,Entertainment,Debit Card,1,0
TXN10056,8762.02,ATM,Varanasi,Fuel,Credit Card,14,0
TXN10057,1275.35,POS,Mumbai,Entertainment,UPI,10,0
TXN10058,704.81,POS,Varanasi,Travel,Debit Card,7,0
TXN10059,1725.64,POS,Bengaluru,Grocery,UPI,11,0
TXN10060,1239.49,POS,Delhi,Travel,Debit Card,12,0
TXN10061,1873.11,POS,Chennai,Food,UPI,23,0
TXN10062,6724.03,POS,Bengaluru,Entertainment,Net Banking,13,0
TXN10063,4102.03,Online,Delhi,Food,Debit Card,22,0
TXN10064,1158.25,POS,Lucknow,Fuel,Net Banking,18,0
TXN10065,1478.59,POS,Kolkata,Food,Credit Card,10,0
TXN10066,106.25,Online,Jaipur,Clothing,Debit Card,18,0
TXN10067,2791.03,POS,Bengaluru,Fuel,UPI,12,0
TXN10068,5590.24,Online,Jaipur,Grocery,Debit Card,16,0
